star,region,constellation,security_status,connections
9-B1DS,Branch,T-RQ7S,-0.49,"['KJ-QWL', 'ME-4IU', 'CH9L-K']"
I-7JR4,Branch,T-RQ7S,-0.43,"['ME-4IU', 'CH9L-K', 'QYZM-W']"
E-GCX0,Outer Ring,Sole,-0.06,"['BOE7-P', 'VBFC-8', 'VJ0-81']"
H-NPXW,Fountain,Unicorn,-0.39,"['6F-H3W', 'L-1SW8']"
NDH-NV,Fountain,Chimera,-0.47,"['6VDT-H', 'QV28-G', 'NY6-FH', 'XJP-Y7']"
15U-JY,Fountain,Chimera,-0.15,['6VDT-H']
7BX-6F,Fountain,Chimera,-0.76,"['6VDT-H', 'AV-VB6']"
MN5N-X,Fountain,Phoenix,-0.28,"['YZ-LQL', 'D-Q04X']"
A-1CON,Fountain,Phoenix,-0.08,"['YZ-LQL', 'LIWW-P']"
75FA-Z,Fountain,Phoenix,-0.08,"['YZ-LQL', 'WY-9LL', 'I-CUVX']"
D-Q04X,Fountain,Phoenix,-0.46,"['YZ-LQL', 'MN5N-X', 'O-PNSN']"
Serpentis Prime,Fountain,Phoenix,-0.12,['YZ-LQL']
OL3-78,Fountain,Minotaur,-0.26,"['V6-NY1', 'R-BGSU']"
9DQW-W,Fountain,Minotaur,-0.8,"['V6-NY1', 'PXF-RF']"
XUW-3X,Fountain,Mermaid,-0.23,"['TEG-SD', '006-L3', 'ZUE-NS', 'ZTS-4D']"
LBGI-2,Fountain,Basilisk,-0.91,"['WMH-SO', 'Y-2ANO']"
G1CA-Y,Fountain,Basilisk,-0.33,"['WMH-SO', 'Z-YN5Y']"
Z3V-1W,Delve,XPJ1-6,0,"['UHKL-N', 'A-ELE2', 'KFIE-Z', '1DH-SX']"
1DH-SX,Delve,XPJ1-6,-0.02,"['F2OY-X', 'Z3V-1W', 'A-ELE2', 'PR-8CA']"
HM-XR2,Delve,B4H-9W,-0.01,"['NOL-M9', 'AJI-MA']"
RF-K9W,Delve,O5K-Y6,-0.02,"['AJI-MA', 'E3OI-U']"
MJXW-P,Delve,YX-LYK,-0.9,['RCI-VL']
V-4DBR,Detorid,GJH-1C,-0.32,"['WU-FHQ', 'B-5UFY', 'SK42-F']"
0-W778,Detorid,RFQ-8Y,-0.22,"['DG-8VJ', '5J4K-9', 'MD-0AW']"
5J4K-9,Detorid,RFQ-8Y,-0.2,"['0-W778', 'DG-8VJ']"
1KAW-T,Detorid,RFQ-8Y,-0.4,"['DG-8VJ', '0-6VZ5']"
GR-X26,Detorid,5F8-PZ,-0.32,"['6OU9-U', 'U-OVFR']"
U-OVFR,Detorid,5F8-PZ,-0.31,"['9-OUGJ', 'GR-X26', 'D-0UI0']"
C-62I5,Wicked Creek,RF9-ZU,-0.12,"['JQU-KY', 'ZH-GKG']"
ZH-GKG,Wicked Creek,RF9-ZU,-0.13,"['UY5A-D', 'C-62I5']"
SJJ-4F,Wicked Creek,5ZR-29,-0.25,"['C-LTXS', 'HD-AJ7']"
1L-OEK,Wicked Creek,R-M719,-0.66,"['F-QQ5N', '5H-SM2', 'YI-GV6', 'SO-X5L', 'Q-GQHN']"
SO-X5L,Wicked Creek,R-M719,-0.7,"['1L-OEK', 'YI-GV6']"
3Q-VZA,Wicked Creek,5Y1E-3,-0.25,['A-4JOO']
M-MBRT,Wicked Creek,5Y1E-3,-0.24,['R4N-LD']
HPBE-D,Wicked Creek,5Y1E-3,-0.29,['R4N-LD']
F5M-CC,Wicked Creek,4-QV2L,-0.39,"['H-HHTH', 'LKZ-CY', 'TZE-UB']"
0LY-W1,Cache,FQ-COP,-0.55,['BTLH-I']
NG-M8K,Cache,MRC-29,-0.91,"['LQ-01M', '8OYE-Z', 'K85Y-6']"
RV5-TT,Cache,MRC-29,-0.37,"['LQ-01M', 'PKN-NJ']"
NSBE-L,Scalding Pass,QI1M-Q,-0.16,['U6K-RG']
Z182-R,Insmother,IV-LWJ,-0.22,"['KDG-TA', 'EKPB-3']"
7L3-JS,Insmother,U-EUG7,-0.12,"['C8H5-X', 'O-7LAI', 'WF4C-8']"
TZN-2V,Insmother,U-EUG7,-0.15,"['C8H5-X', 'WF4C-8', '8EF-58', '4DS-OI']"
4DS-OI,Insmother,U-EUG7,-0.2,"['C8H5-X', 'TZN-2V']"
W-6GBI,Insmother,E-95ID,-0.2,"['XQP-9C', 'XKH-6O', 'V-QXXK']"
9OLQ-6,Insmother,0-YMZM,-0.79,"['3AE-CP', 'MOCW-2']"
KS-1TS,Insmother,N5V-Y0,-0.45,['VBPT-T']
D-P1EH,Insmother,FD-7Y4,-0.54,"['HZ-O18', '74L2-U']"
1ZF-PJ,Insmother,TL-FDN,-0.86,"['FX4L-2', 'HFC-AQ']"
5C-RPA,Insmother,R-CL2W,-0.5,"['8FN-GP', 'J-ZYSZ', 'CR2-PQ']"
E3-SDZ,Catch,T-1WDH,-0.76,"['AOK-WQ', 'N-CREL']"
HP-64T,Catch,A-JI5E,-0.09,"['SNFV-I', 'V2-VC2']"
V2-VC2,Catch,A-JI5E,-0.11,"['SNFV-I', 'HP-64T', 'L-B55M']"
CX65-5,Catch,A-JI5E,-0.09,"['SNFV-I', 'JA-O6J']"
UCG4-B,Catch,6JCS-4,-0.5,"['JGW-OT', 'BUZ-DB']"
CZK-ZQ,Catch,U-JTBT,-0.66,"['4NBN-9', 'CNC-4V']"
LGK-VP,Stain,5VN-B7,-0.12,"['MB4D-4', 'E-C0SR', 'X1E-OQ']"
ZBP-TP,Immensea,MY-QQI,-0.1,['DY-P7Q']
XVV-21,Immensea,MY-QQI,-0.32,"['NS2L-4', 'B9E-H6', 'DY-P7Q', 'BW-WJ2']"
GXK-7F,Immensea,RTCU-5,-0.33,"['DY-P7Q', 'EA-HSA', '78TS-Q', 'CJNF-J']"
94FR-S,Immensea,C73-U5,-0.62,"['RF6T-8', 'ZJA-6U', 'I-NGI8', 'R-ZUOL']"
I-NGI8,Immensea,C73-U5,-0.59,"['RF6T-8', 'ZJA-6U', '94FR-S', 'R-ZUOL', 'E1F-LK']"
E1F-LK,Immensea,C73-U5,-0.45,"['ZJA-6U', 'I-NGI8']"
O3Z5-G,Immensea,Y46-EN,-0.65,"['RF6T-8', '4DV-1T', 'B-R5RB']"
A4L-A2,Deklein,D-AWFI,-0.82,"['U-TJ7Y', 'CZDJ-1', 'UEJX-G']"
T8T-RA,Querious,A-Z7C9,-0.01,"['V-3U8T', 'A-BO4V']"
KEJY-U,Querious,8ET-D1,-0.01,"['K-YI1L', '3BK-O7']"
QXQ-I6,Querious,8ET-D1,-0.02,['YF-6L1']
W-IIYI,Querious,MPJW-6,-0.35,['3-JCJT']
5V-BJI,Querious,MPJW-6,-0.43,"['3-JCJT', '49-U6U']"
M1BZ-2,Querious,MPJW-6,-0.19,"['3-JCJT', '8QT-H4']"
F2OY-X,Querious,3B-IWE,-0.03,"['4-2UXV', '1DH-SX']"
DG-L7S,Querious,3B-IWE,-0.15,"['RKM-GE', 'K4-RFZ']"
8-YNBE,Querious,4QZ-2M,-0.46,"['K4-RFZ', 'YQX-7U', 'E-VKJV']"
6-O5GY,Branch,E-312G,-0.82,['52G-NZ']
C-LBQS,Branch,BI-NFW,-0.35,"['BWI1-9', 'J52-BH']"
KJ-QWL,Branch,BI-NFW,-0.21,"['KMQ4-V', 'SVB-RE', '9-B1DS']"
J9-5MQ,Branch,KWCZ-A,-0.51,"['4DTQ-K', 'D4R-H7', '313I-B', 'Q-4DEC']"
EQI2-2,Branch,KWCZ-A,-0.68,"['4DTQ-K', 'D4R-H7']"
Y-1918,Branch,LIB-F9,-1,"['UJY-HE', '1IX-C0']"
ME-4IU,Branch,T-RQ7S,-0.58,"['9-B1DS', 'BU-IU4', 'I-7JR4', '3KNA-N']"
QYZM-W,Branch,T-RQ7S,-1,"['BU-IU4', 'I-7JR4']"
VBFC-8,Outer Ring,Sole,-0.18,"['E-GCX0', 'YVA-F0', 'VJ0-81']"
VJ0-81,Outer Ring,Sole,-0.03,"['E-GCX0', 'VBFC-8']"
L-1SW8,Fountain,Unicorn,-0.47,"['H-NPXW', 'U-SOH2']"
QV28-G,Fountain,Chimera,-0.4,"['NDH-NV', 'HMF-9D']"
NY6-FH,Fountain,Chimera,-0.44,['NDH-NV']
XJP-Y7,Fountain,Chimera,-0.65,"['NDH-NV', 'AV-VB6']"
AV-VB6,Fountain,Chimera,-0.87,"['XJP-Y7', '7BX-6F']"
WY-9LL,Fountain,Phoenix,-0.15,['75FA-Z']
LIWW-P,Fountain,Griffin,-0.16,"['A-1CON', 'G-UTHL', '38IA-E', 'M-KXEH']"
PXF-RF,Fountain,Minotaur,-1,['9DQW-W']
R-BGSU,Fountain,Minotaur,-0.1,['OL3-78']
O-PNSN,Fountain,Skaven,-0.65,"['D-Q04X', '1-5GBW', 'C-FER9', 'F2-2C3']"
006-L3,Fountain,Mermaid,-0.27,"['XUW-3X', 'PB-0C1']"
ZUE-NS,Fountain,Mermaid,-0.31,"['XUW-3X', 'PB-0C1', 'L7-APB', 'ZTS-4D']"
ZTS-4D,Fountain,Mermaid,-0.36,"['XUW-3X', 'ZUE-NS', 'L7-APB']"
Y-2ANO,Fountain,Basilisk,-1,"['LBGI-2', 'ZXB-VC']"
UHKL-N,Delve,XPJ1-6,-0.01,"['A-BO4V', 'Z3V-1W']"
KFIE-Z,Delve,XPJ1-6,0,['Z3V-1W']
PR-8CA,Delve,XPJ1-6,-0.03,"['1DH-SX', 'NOL-M9', 'FWST-8']"
NOL-M9,Delve,B4H-9W,-0.01,"['PR-8CA', 'O-IOAI', 'HM-XR2']"
E3OI-U,Delve,O5K-Y6,-0.05,"['RF-K9W', 'IP6V-X', 'R5-MM8', 'T-J6HT']"
3L3N-X,Tenerifis,QP6B-I,-0.18,"['Q-S7ZD', 'UALX-3', '4-P4FE']"
B-5UFY,Detorid,GJH-1C,-0.4,"['V-4DBR', 'PQRE-W']"
SK42-F,Detorid,GJH-1C,-0.32,"['V-4DBR', 'EU9-J3']"
MD-0AW,Detorid,RFQ-8Y,-0.2,"['0-W778', 'H-FGJO']"
D-0UI0,Detorid,PR-ACX,-0.32,"['U-OVFR', 'G3D-ZT']"
8FN-GP,Detorid,3R-BJL,-0.51,"['FIDY-8', '5C-RPA']"
F-QQ5N,Wicked Creek,J-9M7D,-0.65,"['1-7B6D', 'U-HVIX', '4-EFLU', '1L-OEK']"
5H-SM2,Wicked Creek,R-M719,-0.71,"['3-LJW3', '1L-OEK']"
Q-GQHN,Wicked Creek,R-M719,-0.53,"['1L-OEK', 'MN-Q26', '4-OS2A', 'XQS-GZ']"
LKZ-CY,Wicked Creek,4-QV2L,-0.45,"['XQS-GZ', 'F5M-CC', 'WRL4-2']"
TZE-UB,Wicked Creek,4-QV2L,-0.32,"['F5M-CC', 'XEN7-0']"
8OYE-Z,Cache,MRC-29,-0.53,['NG-M8K']
K85Y-6,Cache,MRC-29,-1,['NG-M8K']
PKN-NJ,Cache,MRC-29,-0.26,['RV5-TT']
EKPB-3,Insmother,IV-LWJ,-0.36,"['Z182-R', '5M2-KP', 'TK-DLH']"
O-7LAI,Insmother,U-EUG7,-0.08,['7L3-JS']
WF4C-8,Insmother,U-EUG7,-0.17,"['7L3-JS', 'TZN-2V']"
8EF-58,Insmother,U-EUG7,-0.28,['TZN-2V']
XKH-6O,Insmother,E-95ID,-0.15,"['W-6GBI', 'F39H-1']"
V-QXXK,Insmother,E-95ID,-0.23,"['W-6GBI', 'S0U-MO']"
MOCW-2,Insmother,0-YMZM,-0.82,['9OLQ-6']
HZ-O18,Insmother,FD-7Y4,-0.42,"['N-O53U', 'D-P1EH']"
FX4L-2,Insmother,TL-FDN,-0.76,"['RZ-TI6', '1ZF-PJ']"
0-6VZ5,Insmother,R-CL2W,-0.5,"['1KAW-T', 'GB-6X5']"
J-ZYSZ,Insmother,R-CL2W,-0.51,"['VD-8QY', '5C-RPA']"
L-B55M,Catch,A-JI5E,-0.15,"['V2-VC2', 'K717-8']"
JA-O6J,Catch,A-JI5E,-0.11,"['CX65-5', '5-N2EY']"
JGW-OT,Catch,6JCS-4,-0.37,"['KB-U56', 'UCG4-B']"
CNC-4V,Catch,BRP2-K,-0.71,"['CZK-ZQ', 'Y-PNRL', 'FAT-6P']"
E-C0SR,Stain,5VN-B7,-0.08,"['LGK-VP', 'X1E-OQ', 'VTGN-U']"
X1E-OQ,Stain,5VN-B7,-0.1,"['LGK-VP', 'E-C0SR', 'VTGN-U', 'Q-Q2S6']"
NS2L-4,Immensea,Q-IPAA,-0.58,"['B-S347', 'XVV-21']"
B9E-H6,Immensea,K-ZKBM,-0.37,"['Y19P-1', 'JDAS-0', 'XVV-21', 'PH-NFR']"
EA-HSA,Immensea,RTCU-5,-0.52,"['GXK-7F', 'WYF8-8', 'CJNF-J']"
78TS-Q,Immensea,RTCU-5,-0.18,"['GXK-7F', 'CJNF-J']"
CJNF-J,Immensea,RTCU-5,-0.22,"['GXK-7F', 'EA-HSA', '78TS-Q']"
R-ZUOL,Immensea,C73-U5,-0.64,"['94FR-S', 'I-NGI8']"
4DV-1T,Immensea,Y46-EN,-0.59,"['O3Z5-G', 'XS-K1O']"
B-R5RB,Immensea,Y46-EN,-0.71,['O3Z5-G']
N-CREL,Impass,5J-SSP,-0.45,"['E3-SDZ', '3-UCBF', 'TM-0P2']"
CZDJ-1,Deklein,D-AWFI,-0.95,"['A4L-A2', 'RG9-7U', 'UJY-HE']"
UJY-HE,Deklein,D-AWFI,-1,"['CZDJ-1', 'RG9-7U', 'Y-1918']"
UEJX-G,Deklein,D-AWFI,-0.79,['A4L-A2']
A-BO4V,Querious,A-Z7C9,0,"['T8T-RA', 'UHKL-N']"
3BK-O7,Querious,8ET-D1,-0.01,['KEJY-U']
49-U6U,Querious,MPJW-6,-0.57,"['4-07MU', '5V-BJI', 'N-M1A3', '8QT-H4']"
8QT-H4,Querious,MPJW-6,-0.15,"['49-U6U', 'M1BZ-2', 'SVM-3K']"
4-2UXV,Querious,3B-IWE,-0.02,"['F2OY-X', 'RKM-GE', 'L-FVHR']"
RKM-GE,Querious,3B-IWE,-0.05,"['4-2UXV', 'DG-L7S', 'L-FVHR']"
YQX-7U,Querious,4QZ-2M,-0.63,"['8-YNBE', 'QY1E-N', 'BX-VEX']"
E-VKJV,Querious,4QZ-2M,-0.46,"['8-YNBE', '3-DMQT']"
J52-BH,Branch,BI-NFW,-0.45,"['C-LBQS', '5-P1Y2']"
KMQ4-V,Branch,BI-NFW,-0.24,"['5-P1Y2', 'KJ-QWL']"
SVB-RE,Branch,BI-NFW,-0.15,['KJ-QWL']
D4R-H7,Branch,KWCZ-A,-1,"['J9-5MQ', 'EQI2-2']"
313I-B,Branch,KWCZ-A,-0.45,['J9-5MQ']
Q-4DEC,Branch,KWCZ-A,-0.16,['J9-5MQ']
BU-IU4,Branch,T-RQ7S,-0.87,"['ME-4IU', 'QYZM-W']"
3KNA-N,Branch,T-RQ7S,-0.49,['ME-4IU']
YVA-F0,Outer Ring,Sole,-0.7,"['VBFC-8', '0D-CHA']"
U-SOH2,Fountain,Unicorn,-0.69,"['L-1SW8', 'DBRN-Z']"
HMF-9D,Fountain,Chimera,-0.21,['QV28-G']
G-UTHL,Fountain,Griffin,-0.12,"['LIWW-P', '38IA-E', 'M-KXEH', '7BIX-A']"
38IA-E,Fountain,Griffin,-0.16,"['LIWW-P', 'G-UTHL', 'M-KXEH', 'TU-Y2A']"
M-KXEH,Fountain,Griffin,-0.09,"['LIWW-P', 'G-UTHL', '38IA-E']"
1-5GBW,Fountain,Skaven,-0.73,"['O-PNSN', 'F-88PJ', 'ATQ-QS']"
C-FER9,Fountain,Skaven,-0.56,"['O-PNSN', 'F2-2C3']"
F2-2C3,Fountain,Skaven,-0.56,"['O-PNSN', 'C-FER9']"
PB-0C1,Fountain,Mermaid,-0.29,"['006-L3', 'ZUE-NS']"
L7-APB,Fountain,Mermaid,-0.24,"['ZUE-NS', 'ZTS-4D']"
O-IOAI,Delve,B4H-9W,-0.01,"['NOL-M9', 'QX-LIJ']"
FWST-8,Delve,6-UCYU,-0.1,"['PR-8CA', 'YZ9-F6', 'G-TT5V']"
IP6V-X,Delve,O5K-Y6,-0.03,"['E3OI-U', '1B-VKF']"
R5-MM8,Delve,O5K-Y6,-0.06,['E3OI-U']
T-J6HT,Delve,O5K-Y6,-0.01,['E3OI-U']
ZXB-VC,Delve,NJU-QV,-0.9,"['Y-2ANO', '5-CQDA']"
BW-WJ2,Tenerifis,QP6B-I,-0.14,"['XVV-21', 'S4-9DN']"
UALX-3,Tenerifis,QP6B-I,-0.19,"['DT-PXH', '3L3N-X', 'Y-ORBJ']"
4-P4FE,Tenerifis,AU-S0B,-0.33,"['3L3N-X', 'RH0-EG', 'QRBN-M']"
EU9-J3,Detorid,GJH-1C,-0.25,['SK42-F']
PQRE-W,Detorid,GJH-1C,-0.62,"['B-5UFY', 'OEG-K9']"
H-FGJO,Detorid,RFQ-8Y,-0.21,"['MD-0AW', 'LT-XI4', 'O3-4MN']"
3-LJW3,Detorid,MZ-PA2,-0.62,"['C5-SUU', 'ZLO3-V', '5H-SM2']"
G3D-ZT,Detorid,PR-ACX,-0.34,"['D-0UI0', 'L8-WNE', 'GC-LTF', 'NB-ALM']"
FIDY-8,Detorid,3R-BJL,-0.52,"['8FN-GP', 'X40H-9']"
1-7B6D,Wicked Creek,J-9M7D,-0.69,"['F-QQ5N', 'H6-EYX', '4-EFLU']"
U-HVIX,Wicked Creek,J-9M7D,-0.66,"['F-QQ5N', '4-EFLU', 'EIH-IU']"
4-EFLU,Wicked Creek,J-9M7D,-0.52,"['F-QQ5N', '1-7B6D', 'U-HVIX']"
MN-Q26,Wicked Creek,R-M719,-0.51,"['F-EM4Q', '4-OS2A', 'XQS-GZ', 'Q-GQHN']"
4-OS2A,Wicked Creek,R-M719,-0.6,"['MN-Q26', 'Q-GQHN']"
XQS-GZ,Wicked Creek,R-M719,-0.55,"['MN-Q26', 'Q-GQHN', 'LKZ-CY']"
WRL4-2,Wicked Creek,4-QV2L,-0.41,"['LKZ-CY', 'V7G-RL']"
XEN7-0,Wicked Creek,4-QV2L,-0.19,['TZE-UB']
5M2-KP,Insmother,IV-LWJ,-0.4,"['KD-KPR', 'EKPB-3']"
TK-DLH,Insmother,IV-LWJ,-0.31,"['PT-21C', 'EKPB-3', 'O-9G5Y']"
S0U-MO,Insmother,E-95ID,-0.25,"['V-QXXK', 'N-O53U']"
F39H-1,Insmother,E-95ID,-0.17,['XKH-6O']
N-O53U,Insmother,FD-7Y4,-0.43,"['S0U-MO', 'HZ-O18']"
RZ-TI6,Insmother,TL-FDN,-0.77,"['O-9G5Y', 'FX4L-2']"
GB-6X5,Insmother,R-CL2W,-0.52,"['U69-YC', '0-6VZ5', '7EX-14']"
VD-8QY,Insmother,R-CL2W,-0.56,"['N7-KGJ', 'J-ZYSZ']"
K717-8,Catch,6JCS-4,-0.25,"['L-B55M', 'NH-1X6']"
5-N2EY,Catch,6JCS-4,-0.21,"['JA-O6J', 'NH-1X6']"
KB-U56,Catch,6JCS-4,-0.27,"['KH0Z-0', 'JGW-OT']"
Y-PNRL,Catch,BRP2-K,-0.77,"['CNC-4V', 'FAT-6P', '6BPS-T']"
FAT-6P,Catch,BRP2-K,-0.64,"['CNC-4V', 'Y-PNRL', '25S-6P']"
4-07MU,Catch,BRP2-K,-1,"['RR-D05', '49-U6U']"
VTGN-U,Stain,5VN-B7,-0.07,"['E-C0SR', 'X1E-OQ', '0Y1-M7']"
Q-Q2S6,Stain,41JS-R,-0.09,"['X1E-OQ', 'WHG2-7', '32-GI9']"
B-S347,Immensea,Q-IPAA,-0.58,"['NS2L-4', 'QI-S9W', 'AF0-V5']"
Y19P-1,Immensea,K-ZKBM,-0.17,"['B9E-H6', 'SPBS-6', 'JDAS-0', 'A4B-V5', 'LN-56V']"
JDAS-0,Immensea,K-ZKBM,-0.29,"['Y19P-1', 'B9E-H6', 'Y2-QUV']"
WYF8-8,Immensea,RTCU-5,-0.6,"['EA-HSA', 'FYI-49']"
PH-NFR,Immensea,4MY-AB,-0.24,"['B9E-H6', 'DW-N2S', 'W-FHWJ', 'X-6WC7']"
XS-K1O,Immensea,Y46-EN,-0.54,"['4DV-1T', 'FN-DSR']"
3-UCBF,Impass,5J-SSP,-0.47,"['1-7KWU', 'N-CREL']"
TM-0P2,Impass,5J-SSP,-0.38,"['N-CREL', '4OIV-X']"
RG9-7U,Deklein,D-AWFI,-0.98,"['CZDJ-1', 'UJY-HE']"
N-M1A3,Querious,MPJW-6,-0.67,"['49-U6U', 'ZXJ-71']"
L-FVHR,Querious,3B-IWE,-0.02,"['4-2UXV', 'RKM-GE']"
QY1E-N,Querious,4QZ-2M,-0.6,"['YQX-7U', 'C3N-3S']"
BX-VEX,Querious,4QZ-2M,-0.86,"['YQX-7U', 'B-7DFU']"
5-P1Y2,Branch,BI-NFW,-0.53,"['J52-BH', 'KMQ4-V']"
0D-CHA,Outer Ring,Sole,-0.79,"['YVA-F0', 'A2V6-6']"
DBRN-Z,Fountain,Unicorn,-0.75,['U-SOH2']
TU-Y2A,Fountain,Griffin,-0.47,"['38IA-E', '7BIX-A']"
7BIX-A,Fountain,Griffin,-0.6,"['G-UTHL', 'TU-Y2A']"
F-88PJ,Fountain,Skaven,-0.9,['1-5GBW']
ATQ-QS,Fountain,Skaven,-0.54,['1-5GBW']
QX-LIJ,Delve,B4H-9W,-0.01,"['O-IOAI', '4K-TRB']"
YZ9-F6,Delve,6-UCYU,-0.18,"['FWST-8', '0N-3RO', '319-3D']"
G-TT5V,Delve,6-UCYU,-0.13,['FWST-8']
1B-VKF,Delve,O5K-Y6,-0.04,"['IP6V-X', 'QC-YX6']"
SVM-3K,Delve,W-4U1E,-0.63,"['8QT-H4', '0-HDC8']"
3-DMQT,Delve,O-EIMK,-1,"['E-VKJV', 'N-8YET']"
5-CQDA,Delve,NJU-QV,-0.49,"['KEE-N6', 'M2-XFE', 'I-E3TG', 'S-6HHN', 'ZXB-VC']"
S4-9DN,Tenerifis,QP6B-I,-0.09,"['WB-AYY', 'BW-WJ2', 'DT-PXH']"
DT-PXH,Tenerifis,QP6B-I,-0.11,"['S4-9DN', 'UALX-3']"
Y-ORBJ,Tenerifis,QP6B-I,-0.28,"['UALX-3', '6-IAFR']"
RH0-EG,Tenerifis,AU-S0B,-0.35,"['4-P4FE', 'D-9UEV', '78R-PI']"
QRBN-M,Tenerifis,AU-S0B,-0.51,"['4-P4FE', 'C3-0YD']"
OEG-K9,Detorid,GJH-1C,-0.8,"['PQRE-W', 'V7G-RL']"
C5-SUU,Detorid,MZ-PA2,-0.51,"['XSUD-1', '3-LJW3', 'P7MI-T', '3-3EZB']"
ZLO3-V,Detorid,MZ-PA2,-0.59,"['3-LJW3', 'JFV-ID']"
L8-WNE,Detorid,PR-ACX,-0.44,"['G3D-ZT', '1-GBVE']"
GC-LTF,Detorid,PR-ACX,-0.26,['G3D-ZT']
NB-ALM,Detorid,PR-ACX,-0.46,['G3D-ZT']
LT-XI4,Detorid,5P4-QA,-0.24,"['H-FGJO', 'L-QQ6P']"
O3-4MN,Detorid,D-95MV,-0.25,"['H-FGJO', 'A-7XFN', 'U-MFTL', 'IAS-I5']"
X40H-9,Detorid,3R-BJL,-0.62,"['FIDY-8', 'F2W-C6']"
U69-YC,Detorid,NZU8-G,-0.52,"['7-A6XV', 'L-L7PE', 'GB-6X5']"
H6-EYX,Wicked Creek,J-9M7D,-0.73,['1-7B6D']
EIH-IU,Wicked Creek,J-9M7D,-0.6,['U-HVIX']
F-EM4Q,Wicked Creek,R-M719,-0.43,['MN-Q26']
V7G-RL,Wicked Creek,4-QV2L,-0.44,"['OEG-K9', 'WRL4-2']"
KD-KPR,Insmother,IV-LWJ,-0.42,['5M2-KP']
PT-21C,Insmother,IV-LWJ,-0.18,['TK-DLH']
O-9G5Y,Insmother,TL-FDN,-0.52,"['TK-DLH', '27-HP0', 'RZ-TI6']"
7EX-14,Insmother,R-CL2W,-0.56,"['GB-6X5', 'N7-KGJ']"
N7-KGJ,Insmother,R-CL2W,-0.59,"['7EX-14', 'VD-8QY']"
NH-1X6,Catch,6JCS-4,-0.24,"['K717-8', 'KH0Z-0', '5-N2EY']"
KH0Z-0,Catch,6JCS-4,-0.18,"['NH-1X6', 'KB-U56']"
6BPS-T,Catch,BRP2-K,-0.83,"['Y-PNRL', '25S-6P']"
25S-6P,Catch,BRP2-K,-0.95,"['FAT-6P', '6BPS-T', 'RR-D05']"
RR-D05,Catch,BRP2-K,-0.98,"['25S-6P', '4-07MU']"
0Y1-M7,Stain,5VN-B7,-0.08,"['VTGN-U', '7R5-7R']"
WHG2-7,Stain,41JS-R,-0.1,"['Q-Q2S6', '9RQ-L8']"
32-GI9,Stain,41JS-R,-0.08,['Q-Q2S6']
QI-S9W,Immensea,Q-IPAA,-0.34,"['B-S347', 'B-A587', 'QE-E1D']"
AF0-V5,Immensea,Q-IPAA,-0.4,['B-S347']
SPBS-6,Immensea,K-ZKBM,-0.18,"['Y19P-1', 'A4B-V5', 'LN-56V']"
A4B-V5,Immensea,K-ZKBM,-0.15,"['Y19P-1', 'SPBS-6', 'LN-56V']"
LN-56V,Immensea,K-ZKBM,-0.22,"['Y19P-1', 'SPBS-6', 'A4B-V5']"
Y2-QUV,Immensea,K-ZKBM,-0.28,"['JDAS-0', 'O7-7UX']"
FYI-49,Immensea,RTCU-5,-0.7,['WYF8-8']
DW-N2S,Immensea,4MY-AB,-0.21,"['PH-NFR', 'W-FHWJ', 'X-6WC7', 'D-BAMJ', 'JKWP-U']"
W-FHWJ,Immensea,4MY-AB,-0.24,"['PH-NFR', 'DW-N2S', 'JKWP-U']"
X-6WC7,Immensea,4MY-AB,-0.37,"['PH-NFR', 'DW-N2S', 'JKWP-U']"
FN-DSR,Immensea,Y46-EN,-0.4,"['XS-K1O', '7-ZT1Y']"
1-7KWU,Impass,5J-SSP,-0.4,"['3-UCBF', 'H-HWQR']"
4OIV-X,Impass,5J-SSP,-0.26,"['TM-0P2', 'Y-JKJ8']"
B-7DFU,Querious,4QZ-2M,-1,['BX-VEX']
ZXJ-71,Querious,XLL-Z7,-0.68,"['N-M1A3', 'F-NXLQ', 'ES-Q0W']"
A2V6-6,Outer Ring,Sole,-0.85,['0D-CHA']
4K-TRB,Delve,B4H-9W,-0.02,"['QX-LIJ', 'D-W7F0']"
0N-3RO,Delve,6-UCYU,-0.2,"['YZ9-F6', 'I3Q-II']"
319-3D,Delve,6-UCYU,-0.32,"['YZ9-F6', 'D-3GIQ', 'GY6A-L']"
QC-YX6,Delve,D5-SOW,-0.03,"['1B-VKF', 'T-M0FA', 'LUA5-L']"
0-HDC8,Delve,W-4U1E,-0.72,"['PUIG-F', 'SVM-3K']"
N-8YET,Delve,O-EIMK,-0.88,"['1DQ1-A', '3-DMQT']"
KEE-N6,Delve,NJU-QV,-0.23,"['4X0-8B', 'M2-XFE', '5-CQDA']"
M2-XFE,Delve,NJU-QV,-0.37,"['KEE-N6', '5-CQDA', 'I-E3TG']"
I-E3TG,Delve,NJU-QV,-0.49,"['M2-XFE', '5-CQDA']"
S-6HHN,Delve,NJU-QV,-0.91,['5-CQDA']
C3N-3S,Delve,OK-FEM,-0.68,"['QY1E-N', 'YAW-7M', 'CX8-6K', 'LWX-93']"
WB-AYY,Tenerifis,QP6B-I,-0.05,['S4-9DN']
6-IAFR,Tenerifis,QP6B-I,-0.24,"['Y-ORBJ', 'ZD1-Z2']"
D-9UEV,Tenerifis,AU-S0B,-0.32,"['RH0-EG', 'H-HWQR', '78R-PI']"
78R-PI,Tenerifis,AU-S0B,-0.43,"['RH0-EG', 'D-9UEV', 'H-HWQR']"
